APOGEE_ID,region,line_Fe,abun_Fe_log,MAD_Fe_log,abun_Fe_sol,MAD_Fe_sol,line_Mg,abun_Mg_log,MAD_Mg_log,abun_Mg_sol,MAD_Mg_sol,line_Si,abun_Si_log,MAD_Si_log,abun_Si_sol,MAD_Si_sol,line_Ti,abun_Ti_log,MAD_Ti_log,abun_Ti_sol,MAD_Ti_sol,line_C,abun_C_log,MAD_C_log,abun__C_sol,MAD_C_sol,line_K,abun_K_log,MAD_K_log,abun_K_sol,MAD_K_sol
2M05252037-0158368,bori,1.2.6.7.15,7.317,0.0155673232943087,-0.189250087738037,0.0155672554261653,5.6,7.552,0.0363237543533875,-0.0513299542236326,0.0363235959943855,1.6.7.8,7.3295,0.0148260221850557,-0.180499801635742,0.0148260080458595,,,,,,,,,,,1.2,4.873,0.0196444793951992,-0.206999855041504,0.0196446462377188
2M05252125+0146555,bori,1.6.7.12.15,7.4,0.0192738288405726,-0.106249904632568,0.0192738458076087,,,,,,1.6.8,7.36,0.0311346465886161,-0.149999866485595,0.0311345108523305,,,,,,,,,,,,,,,
2M05253785+0026038,bori,1.2.6.7.12.15,7.627,0.0181618771766934,0.120749855041504,0.01816197473715,5.6,7.467,0.0322465982524967,-0.136329992370605,0.0322463819227892,1.6.7.8,7.52525,0.0107488660841659,0.0152498388290408,0.0107487939742631,,,,,,,,,,,1.2,4.952,0.0222390332775839,-0.127999978065491,0.0222390120687891
2M05253888+0201299,bori,1.2.6.7.12.15,7.4445,0.0081543122017808,-0.0617500305175777,0.0081544281431925,5.6,7.567,0.0340998510256287,-0.0363298493194577,0.0340998538534682,1.6.7.8,7.338,0.0140847210758029,-0.171999940872192,0.0140845839255965,,,,,,,,,,,1.2,4.8665,0.0252042377145954,-0.213499979972839,0.0252040015900125
2M05253994+0140211,bori,7.12.15,7.441,0.0355824532441344,-0.0652500152587886,0.0355823486140797,6,7.327,0.0667170998327519,-0.276329858856201,0.0667172129463246,6.7,7.312,0.0533736798662024,-0.197999963760376,0.0533733461811626,,,,,,,,,,,2,4.927,0.0118608177480448,-0.152999954223633,0.0118606650447217
2M05255041+0019001,bori,1.2.6.7.12.15,7.452,0.0092662638656594,-0.0542500972747799,0.0092662992136513,5.6,7.5025,0.0252042377145944,-0.100829942779541,0.0252041783299695,1.6.7.8,7.4305,0.0100075649749132,-0.0794999694824217,0.0100075465939572,,,,,,,,,,,1.2,4.93875,0.0129727694119244,-0.14125009059906,0.0129725361151805
2M05255075+0047489,bori,2.6.15,7.221,0.0096369144202863,-0.285249805450439,0.0096369229038043,5.6,7.641,0.0074130110925278,0.0376700324249271,0.0074128272829726,1.6.7.8,7.1415,0.0100075649749135,-0.368500003814697,0.0100075465939573,,,,,,,,,,,,,,,
2M05260369-0152054,bori,1.2.6.7.12.15,7.39525,0.0151966727396822,-0.111000037193298,0.0151966317360123,6,7.2925,0.0378063565718916,-0.310829980926513,0.0378060907549973,1.6.7.8,7.39875,0.0352118026895083,-0.111249933242798,0.0352115481839697,,,,,,,,,,,,,,,
2M05260443-0153012,bori,1.2.6.7.12.15,7.4145,0.0085249627564074,-0.0917500019073483,0.0085250518333456,,,,,,1.6.7.8,7.3755,0.0107488660841659,-0.134500036239624,0.010748793974263,,,,,,,,,,,1.2,4.861,0.0170499255128145,-0.218999938964844,0.0170497501867769
2M05260639+0137116,bori,1.2.6.7.12.15,7.4785,0.0396596093450249,-0.0277501106262203,0.039659385945719,5.6,7.58525,0.236104403297017,-0.0180799799728391,0.236104611143207,1.6.7.8,7.35925,0.0826550736816876,-0.150750050544739,0.0826552688026,,,,,,,,,,,1.2,4.86725,0.0200151299498254,-0.212749915122986,0.0200150931879145
2M05260800+0141152,bori,6.7.12.15,7.409,0.0392889587903984,-0.097249841690063,0.0392891157354804,6,7.423,0.0563388843032132,-0.180330141143799,0.0563390426622144,1.6.7.8,7.2755,0.0637518953957417,-0.234499940872192,0.063751869945187,,,,,,,,,,,2,4.955,0.102299553076886,-0.125000076293945,0.102299915040319
2M05260969-0207043,bori,1.2.6.7.12.15,7.479,0.0126021188572975,-0.0272501468658443,0.0126022659049419,6,7.353,0.0192738288405726,-0.250329835968017,0.0192738458076087,1.6.7.8,7.434,0.0100075649749122,-0.0759999847412106,0.0100079000738716,,,,,,,,,,,1.2,4.945,0.0170499255128145,-0.135000066757202,0.017049926926734
2M05262765+0351318,bori,1.6.7.12.15,7.402,0.0281694421516059,-0.104250049591064,0.0281688143712786,6,7.508,0.0340998510256283,-0.0953301029968258,0.0341002073333824,1.6.7.8,7.382,0.0404009104542776,-0.128000030517578,0.0404009868059392,,,,,,,,,,,1.2,4.92825,0.0359531037987613,-0.151749925613403,0.0359527955642756
2M05263185-0248343,bori,1.7.12.15,7.4615,0.0133434199665506,-0.0447498321533199,0.0133431598053335,5.6,7.5845,0.0159379738489353,-0.0188301640319822,0.0159378791163182,1.6.7.8,7.5,0.0170499255128142,-0.0099999999999998,0.0170501036666912,,,,,,,,,,,1.2,5.0555,0.0177912266220672,-0.0244999694824219,0.0177913510469971
2M05263804+0121455,bori,1.6.7.12.15,7.4215,0.0326172488071236,-0.0847500324249263,0.0326170056129422,5,8.013,0.0044478066555169,0.409669534606934,0.0044481912416634,1.6.7.8,7.43725,0.0641225459503676,-0.0727499818801877,0.0641226703752972,,,,,,,,,,,2,4.899,0.0148260221850557,-0.18099983215332,0.014825654565945
2M05263991-0207555,bori,1.2.6.7.12.15,7.52,0.0096369144202866,0.013749980926514,0.0096369229038043,5.6,7.669,0.0259455388238481,0.0656699103546146,0.0259454257102754,1.6.7.8,7.49925,0.0137140705211768,-0.0107499456405638,0.0137143137153578,,,,,,,,,,,1.2,5.06475,0.0218683827229573,-0.015249924659729,0.0218683883786363
2M05264348+0143538,bori,1.2.6.7.12.15,7.5155,0.0181618771766931,0.0092500686645511,0.0181619747371499,5.6,7.492,0.0359531037987613,-0.111330135421753,0.035953325784147,1.6.7.8,7.4985,0.0140847210758033,-0.0115000104904173,0.0140845839255964,,,,,,,,,,,1.2,5.0545,0.0211270816137049,-0.0254998970031739,0.0211271409983303
2M05264681+0226039,bori,1.2.6.7.12.15,7.4435,0.0137140705211768,-0.0627499580383296,0.0137141369754007,5.6,7.63675,0.0404009104542776,0.0334198636245731,0.0404009868059391,1.6.7.8,7.3735,0.0148260221850557,-0.136500129699707,0.014825654565945,,,,,,,,,,,1.2,4.87175,0.0507791259838167,-0.208250002861023,0.0507789803500922
2M05265191+0023039,bori,1.2.6.7.12.15,7.5075,0.0126021188572979,0.0012499332427981,0.0126019124250276,5.6,7.60575,0.0244629366053423,0.0024199647140506,0.0244627542097066,1.6.7.8,7.4055,0.0137140705211768,-0.104499826431274,0.0137141369754006,,,,,,,,,,,1.2,4.9365,0.0196444793951992,-0.143499927520752,0.0196444694977616
2M05270085-0117575,bori,1.2.6.7.12.15,7.3985,0.0329878993617498,-0.107749915122985,0.0329878060430522,6,7.3705,0.0281694421516066,-0.232830150680542,0.0281695213311072,1.6.7.8,7.40375,0.0266868399331008,-0.106249938011169,0.0266866730905812,,,,,,,,,,,1.2,4.95875,0.0233509849414628,-0.121249990463257,0.0233508831392479
2M05270646+0137245,bori,2.6.7.12.15,7.414,0.0311346465886175,-0.0922499656677242,0.0311345108523305,6,7.255,0.128986393009988,-0.348329885559082,0.1289865881309,1.6.7.8,7.40875,0.0767246648076655,-0.101249942779541,0.0767249362802391,,,,,,,,,,,1.2,4.9435,0.0207564310590791,-0.13649995803833,0.0207563405682204
2M05271018+0050452,bori,1.2.6.7,7.6475,0.0326172488071229,0.141250038146973,0.0326171823528993,6,7.586,0.0192738288405726,-0.017330034332275,0.0192738458076087,1.6.7,7.606,0.0207564310590781,0.0959999465942385,0.0207563405682203,,,,,,,,,,,1.2,4.98825,0.0259455388238478,-0.0917501020431518,0.0259454257102754
2M05271421-0208189,bori,1.6.7.12.15,7.366,0.0118608177480448,-0.140249824523925,0.0118606650447217,6,7.4545,0.0126021188572985,-0.148830040054321,0.0126019124250277,1.6.7.8,7.336,0.0111195166387918,-0.174000034332275,0.0111194176644159,,,,,,,,,,,,,,,
2M05271720-0220239,bori,1.2.6.7.15,7.299,0.0793192186900498,-0.207250213623047,0.0793191253713523,6,7.381,0.0489258732106847,-0.22232995803833,0.0489258618993275,1.6.7.8,7.44575,0.071164906488269,-0.0642501211166379,0.0711650507080738,,,,,,,,,,,1.2,4.945,0.0522617282023225,-0.135000066757202,0.052261651850661
2M05272543-0105515,bori,6.12,7.491,0.0548562820847072,-0.015249943733215,0.0548561944216886,,,,,,1.6,7.69425,0.0611573415133557,0.184250106811524,0.0611571506342024,,,,,,,,,,,1,5.196,0.102299553076886,0.116000099182129,0.102299561560404
2M05272886-0205320,bori,1.2.6.7.15,7.579,0.0044478066555169,0.072749996185303,0.0044474842818348,5.6,7.403,0.0037065055462639,-0.200329883651733,0.0037065903814434,1.6.7.8,7.4365,0.0066717099832754,-0.0735001659393308,0.0066719333825809,,,,,,,,,,,1.2,4.9575,0.0118608177480442,-0.122500138282776,0.0118604883047646
2M05272968+0129029,bori,1.2.6.7.12.15,7.5065,0.0070423605379016,2.500057220462E-4,0.0070425570727338,5.6,7.573,0.0096369144202863,-0.0303300457763669,0.0096369229038043,1.6.7.8,7.441,0.0070423605379019,-0.0690000152587889,0.0070425570727339,,,,,,,,,,,1.2,4.9815,0.0177912266220665,-0.0985000896453858,0.0177911743070398
2M05273137+0116459,bori,1.2.6.7.12.15,7.44625,0.0200151299498254,-0.0600001573562618,0.0200150931879145,5.6,7.613,0.021127081613705,0.0096699160766604,0.0211269642583733,1.6.7.8,7.3715,0.0203857805044529,-0.138499984741211,0.0203858936180245,,,,,,,,,,,2,4.957,0.0192738288405726,-0.122999982833862,0.0192738458076087
