ID,RA,DEC,REGION,t25,t50,t75,g25,g50,g75,m25,m50,m75,a25,a50,a75,v25,v50,v75
2M05402894+0013082,85.120584,0.218967,OrionBOB1,4453.0,4463.0,4519.0,4.03,4.07,4.11,-0.04,-0.04,-0.01,0.03,0.05,0.07,33.05,33.28,33.79
2M05403450-0230222,85.143759,-2.506181,OrionBOB1,3957.0,3971.0,4029.0,3.52,3.55,3.61,-0.19,-0.18,-0.15,-0.06,-0.05,-0.03,37.76,38.25,38.73
2M05403873-0233475,85.161404,-2.563203,OrionBOB1,3696.0,3738.0,3785.0,3.59,3.63,3.69,-0.18,-0.15,-0.11,-0.06,-0.04,-0.02,23.6,23.76,24.38
2M05411852+0027256,85.327199,0.457116,OrionBOB1,4117.0,4139.0,4182.0,3.94,4.08,4.16,-0.06,0.01,0.05,-0.03,-0.01,0.02,23.58,23.8,24.2
2M05453826-0008109,86.409425,-0.136383,OrionBOB1,3662.0,3749.0,3783.0,3.73,3.87,4.02,-0.16,-0.12,-0.06,-0.08,-0.07,-0.04,15.3,15.74,17.16
2M05460366+0010586,86.515264,0.182972,OrionBOB1,4365.0,4373.0,4433.0,3.75,3.76,3.79,-0.12,-0.1,-0.09,0.02,0.04,0.06,28.36,28.55,29.0
2M05462900+0029071,86.620837,0.485326,OrionBOB1,3411.0,3436.0,3514.0,3.27,3.33,3.42,-0.25,-0.22,-0.12,-0.09,-0.08,-0.06,14.73,15.16,16.38
2M05484854+0045353,87.202272,0.759824,OrionBOB1,4776.0,4803.0,4858.0,3.93,3.97,4.07,-0.13,-0.12,-0.1,0.08,0.1,0.12,28.65,28.82,29.19
2M05511658+0039339,87.819087,0.659443,OrionBOB1,4852.0,4876.0,5000.0,3.93,4.04,4.13,-0.15,-0.14,-0.1,0.06,0.08,0.1,29.78,30.15,30.93
2M04160817+4011099,64.03407,40.186104,California,6143.0,6251.0,6306.0,4.29,4.38,4.44,-0.44,-0.39,-0.36,-0.04,-0.01,0.01,24.12,24.28,24.89
2M04165083+3520420,64.211796,35.345001,California,4633.0,4646.0,4732.0,3.92,3.97,4.07,-0.01,0.0,0.03,0.09,0.11,0.12,19.38,19.53,19.91
2M04171160+3538349,64.298344,35.643051,California,5878.0,5997.0,6003.0,3.72,3.79,3.81,-0.15,-0.1,-0.09,-0.07,-0.03,-0.02,19.51,19.6,20.08
2M04172042+3622322,64.335124,36.375614,California,6419.0,6557.0,6590.0,4.28,4.39,4.43,-0.28,-0.2,-0.18,-0.12,-0.08,-0.06,15.41,15.6,16.4
2M04211899+3709233,65.329139,37.15649,California,6099.0,6227.0,6262.0,4.2,4.29,4.33,-0.03,0.04,0.06,-0.03,-0.01,0.01,14.56,14.65,15.08
2M04215701+3524270,65.487571,35.407505,California,4314.0,5461.0,6547.0,3.26,3.92,4.54,-0.52,-0.08,0.4,-0.32,0.08,0.51,12.93,24.56,35.37
2M04222080+3727505,65.586699,37.464035,California,6337.0,6360.0,6381.0,4.02,4.04,4.08,-0.41,-0.39,-0.37,-0.09,-0.08,-0.05,28.83,29.08,29.63
2M04225025+3738105,65.709415,37.63625,California,5703.0,5729.0,5772.0,4.01,4.04,4.12,-0.29,-0.28,-0.27,-0.13,-0.12,-0.1,24.61,24.74,25.31
2M04225623+3343582,65.734315,33.732834,California,6158.0,6222.0,6301.0,4.31,4.39,4.45,0.08,0.11,0.14,-0.03,-0.01,0.02,15.64,15.79,16.51
2M04230999+3406161,65.791656,34.104473,California,3655.25,4576.0,5321.0,3.33,3.9,4.57,-1.34,-0.61,0.25,0.22,0.46,0.75,12.07,26.4,37.09
2M04232195+3649081,65.841482,36.818935,California,5705.0,5745.0,5760.0,3.93,3.98,4.0,-0.25,-0.23,-0.2,-0.25,-0.23,-0.2,23.61,23.81,24.19
